Column1,Column2
단어,정의
응용계층,사용자와 네트워크 간 응용서비스 연결
표현 계층,데이터 형식 설정 / 부호교환 / 암복화화 / 압축
전송 계층,송수신 간의 논리적 연결 / 연결 접속 / 동기제어
네트워크 계층,단말기 간 데이터 전송을 위한 최적화된 경로 제공
데이터링크 계층,인접 시스템 간 데이터 전송 / 전송 오류 제어
물리 계층,0과 1의 비트 정보를 회선에 보내기 위한 전기적 신호로 변환
근거리 통신망(LAN),전송 거리가 짧은 학교 / 연구소 / 병원 등의 건물 내부에서 사용하는 통신망
무선랜 통신망(WLAN),유선 LAN과 무선 단말 사이를 무선주파수를 이용하여 전송하는 네트워크이다.
원거리 통신망(WAN),국가망 또는 각 국가의 공중통신망을 상호 접속시키는 국제통신망으로 설계 및 구축 / 운용되는 네트워크이다.
전용 회선 방식,통신 사업자가 사전에 계약을 체결한 송신자와 수신자끼리만 데이터를 교환하는 방식
회선 교환 방식,물리적 전용선을 활용하여 데이터 전달 경로가 정해진 후 동일 경로로만 전달되는 방식
패킷 교환 방식,전체 메시지를 각 노드가 수용할 수 있는 크기로 잘라서 보내는 방식
전송 매체 접속 제어(MAC; Media Access Control),통신망 사용 시 공유 매체에 대한 다중 접근제어가 중요
허브,여러 대의 컴퓨터를 연결하여 네트워크로 보내거나 하나의 네트워크로 수신된 정보를 여러 대의 컴퓨터로 송신하기 위한 장비
리피터,디지털 신호를 증폭시켜 주는 역할을 하여 신호가 약해지지 않고 컴퓨터 수신되도록 하는 장비
브리지,두 개의 근거리통신망을 서로 연결해 주는 통신망 연결 장치
L2 스위치,느린 전송속도의 브리지 / 허브의 단점을 개선하기 위해서 출발지에서 들어온 프레임을 목적지 MAC 주소 기반으로 빠르게 전송시키는 데이터 링크 계층의 통신장치
NIC(Network Interface Card),외부 네트워크와 접속하여 가장 빠른 속도로 데이터를 주고받을 수 있게 컴퓨터내에 설치되는 장치
스위칭 허브,스위치 기능을 가진 허브
STP(Spanning Tree Protocol),2개 이상의 스위치가 여러 경로로 연결될 때 무한 루프 현상을 막기 위해서 우선순위에 따라 1개의 경로로만 통신하도록 하는 프로토콜
라우터,LAN과 LAN을 연결하거나 LAN과 WAN을 연결하기 위한 인터넷 네트워킹 장비
게이트웨이,프로토콜을 서로 다른 통신망에 접속할 수 있게 해주는 장치
L3 스위치,3계층에서 네트워크 단위들을 연결하는 통신 장비
구문 의미 타이밍,프로토콜의 기본 3요소
HDLC(High-level Data Link Control),점대점 방식이나 다중방식의 통신에 사용되는 ISO에서 표준화한 동기식 비트 중심의 데이터 링크 프로토콜
PPP(Point-to-Point Protocol),네트워크 분야에서 두 통신 노드 간의 직접적인 연결을 위해 일반적으로 사용되는 데이터 링크 프로토콜
프레임 릴레이,프로토콜 처리를 간략화하여 단순히 데이터 프레임의 중계기능과 다중화 기능만 수행함으로써 데이터 처리속도의 향상 및 전송지연을 감소시킨 고속의 데이터 전송기술
ATM(Asynchronous Transfer Mode),정보전달의 기본단위를 53바이트 셀 단위로 전달하는 비동기식 시분할 다중화 방식의 패킷형 전송 기술
FEC(Forward Error Correction),데이터 전송 과정에서 발생한 오류를 검출하여 검출된 오류를 재전송 요구 없이 스스로 수정하는 방식
BEC(Backward Error Correction),데이터 전송 과정에서 오류가 발생하면 송신 측에 재전송을 요구하는 방식
IP(Internet Protocol),송수신 간의 패킷 단위로 데이터를 교환하는 네트워크에서 정보를 주고받는 데 사용하는 통신 프로토콜
ARP(Address Resoltuion Protocol),IP 네트워크상에서 IP 주소를 MAC 주소(물리 주소)로 변환하는 프로토콜
RARP(Reverse Address Resolution Protocol),IP 호스트가 자신의 물리 네트워크 주소(MAC)는 알지만 IP 주소를 모르는 경우 서버로부터 IP 주소를 요청하기 위해 사용하는 프로토콜
ICMP(Internet Control Message Protocol),IP의 동작 과정에서의 전송 오류가 발생하는 경우에 오류 정보를 전송하는 목적으로 사용하는 프로토콜
IGMP(Internet Group Management Protocol),인터넷 그룹 관리 프로토콜은 호스트 컴퓨터와 인접 라우터가 멀티캐스트 그룹 멤버십을 구성하는 데 사용하는 통신 프로토콜
라우팅 프로토콜,데이터 전송을 위해 목적지까지 갈 수 있는 여러 경로 중 최적의 경로를 설정해주는 라우터 간의 상호 통신 프로토콜
NAT(Network Address Translation),사설 네트워크에 속한 IP를 공인 IP 주소로 바꿔주는 네트워크 주소 변환 기술
IPv4,인터넷에서 사용되는 패킷 교환 네트워크상에서 데이터를 교환하기 위한 32비트 주소체계를 갖는 네트워크 계층의 프로토콜이다.
서브네팅,IP 주소 고갈문제를 해결하기 위해 원본 네트워크를 여러 개의 네트워크로 분리하는 과정
RIP(Routing Information Protocol),자치시스템 내에서 사용하는 거리벡터 알고리즘에 기초하여 개발된 내부 라우팅 프로토콜
OSPF(Open Shortest Path First),규모가 크고 복잡한 TCP/IP 네트워크에서 RIP의 단점을 개선하기 위해 기주능로 링크 상태 알고리즘을 적요하여 최단 경로를 찾는 라우팅 프로토콜이다.
UDP(User Datagram Protocol),"비연결성이고, 신뢰성이 없으며, 순서화되지 않은 데이터그램 서비스를 제공하는 전송계층의 통신 프로토콜이다."
HTTP(HyperText Transfer Protocol),텍스트 기반의 통신규약으로 인터넷에서 데이터를 주고받을 수 있는 프로토콜
FTP(File Transfer Protocol),TCP/IP 프로토콜을 가지고 서버와 클라이언트 사이의 파일을 전송하기 위한 프로토콜
SMTP(Simple Mail Transfer Protocol),인터넷에서 이메일을 보내기 위해 이용되는 프로토콜
POP3(Post Office Protocol Version 3),원격 서버로부터 TCP/IP 연결을 통해 이메일을 가져오는데 사용하는 프로토콜
IMAP(Internet Messaging Access Protocol),중앙 서버에서 동기화가 이루어지기 때문에 모든 단말에서 동일한 이메일 폴더를 확인할 수 있는 프로토콜
Telnet,인터넷이나 로컬 영역에서 네트워크 연결에 사용되는 네트퉈크 프로토콜
SSH,Telnet보다 강력한 보안을 제공하는 원격접속 프로토콜
SNMP(Simple Network Management Protocol),"TCP/IP 네트워크 관리 프로토콜로, 라우터나 허브 등 네트워크 장치로부터 정보를 수집 및 관리하며, 정보를 네트워크 관리 시스템에 보내는 데 사용하는 인터넷 표준 프로토콜"
DNS(Domain Name System),호스트의 도메인 이름을 호스트의 네트워크 주소로 바꾸거나 그 반대의 변환을 수행하는 프로토콜
DHCP(Dynamic Host Configuration Protocol),각 컴퓨터에서 IP 관리를 쉽게 하기 위한 프로토콜이며 TCP/IP 통신을 실행하기 위해 필요한 정보를 자동적으로 할당 관리하기 위한 프로토콜
HTTPS,HTTP의 보안이 강화된 프로토콜
서킷 교환 방식,네트워크 리소스를 특정 사용층이 독점하도록 하는 통신 방식
데이터그램 ,연결 경로를 확립하지 않고 각각의 패킷을 순서에 무관하게 독립적으로 전송하는 방식
가상 회선,패킷이 전송되기 전에 송수신 스테이션 간의 논리적인 통신 경로를 미리 설정하는 방식
애드 혹 네트워크,노드들에 의해 자율적으로 구성하는 기반 구조가 없는 네트워크
폭포수 모델,소프트웨어 개발 시 각 단계를 확실히 마무리 지은 다음 단계로 넘어가는 모델
프로토타이핑 모델,"고객이 요구한 주요 기능을 프로토타입으로 구현하여, 고객의 피드백을 반영하여 소프트웨어를 만들어가는 모델"
나선형 모델,시스템 개발 시 위험을 최소화하기 위해 점진적으로 완벽한 시스템으로 개발해 나가는 모델
반복적 모델,"구축대상을 나누어 병렬적으로 개발 후 통합하거나, 반복적으로 개발하여 점증 완성시키는 SDLC 모델"
애자일,절차보다 사람이 중심이 되어 변화에 유연하고 신속하게 적응하면서 효율적으로 시스템을 개발할 수 있는 신속 적응적 경랴 개발 방법론
캡슐화,서로 연관된 데이터와 함수를 함께 묶어 외부의 경계를 만들고 필요한 인터페이스만을 밖으로 드러내는 기법
상속성,상위 클래스의 속성과 메서드를 하위 클래스에서 재정의 없이 물려받아 사용하는 기법
다형성,하나의 메시지에 대해 객체가 가지고 있는 고유한 방법으로 응답할 수 있는 능력
SRP(Single Responsbility Principle),하나의 클래스는 하나의 목적을 위해서 생성되며 클래스가 제공하는 모든 서비스는 하나의 책임을 수행하는 데 집중되어 있어야 한다는 원칙
OCP(Open Close Principle),소프트웨어의 구성요소는 확장에는 열려있고 변경에는 닫혀있어야 한다.
LSP(Liskov Substitution Principle),서브 타입은 어디서나 자신의 기반 타입으로 교체할 수 있어야 한다는 원칙
ISP(Interface Segregation Principle),한 클래스는 자신의 사용하지 않는 인터페이스는 구현하지 말아야한다는 원칙
DIP(Dependency Inversion Principle),객체에서 어떤 클래스를 참조해서 사용하는 경우 그 클래스를 직접 참조하는 것이 아니라 그 대상의 상위 요소인 추상 클래스나 인터페이스로 참조하라는 원칙
Singleton,전역변수를 사용하지 않고 객체를 하나만 생성하도록 하며 생성된 객체를 어디에서든지 참조할 수 있도록 하는 디자인 패턴
CLI(Command Line Interface),명령어를 텍스트로 입력하여 조작하는 사용자 인터페이스
